Band,SZA,VZA,RAA,R_atm
B3,10,0,20,0.033
B3,10,0,30,0.033
B3,10,0,40,0.033
B3,10,0,50,0.033
B3,10,0,60,0.033
B3,10,0,70,0.033
B3,10,0,80,0.033
B3,10,0,90,0.033
B3,10,0,100,0.033
B3,10,0,110,0.033
B3,10,0,120,0.033
B3,10,0,130,0.033
B3,10,0,140,0.033
B3,10,0,150,0.033
B3,10,0,160,0.033
B3,10,0,170,0.033
B3,10,0,180,0.033
B3,10,10,0,0.034
B3,10,10,10,0.034
B3,10,10,20,0.034
B3,10,10,30,0.034
B3,10,10,40,0.033
B3,10,10,50,0.033
B3,10,10,60,0.033
B3,10,10,70,0.033
B3,10,10,80,0.033
B3,10,10,90,0.033
B3,10,10,100,0.033
B3,10,10,110,0.032
B3,10,10,120,0.032
B3,10,10,130,0.032
B3,10,10,140,0.032
B3,10,10,150,0.032
B3,10,10,160,0.032
B3,10,10,170,0.032
B3,10,10,180,0.032
B3,10,20,0,0.035
B3,10,20,10,0.035
B3,10,20,20,0.035
B3,10,20,30,0.034
B3,10,20,40,0.034
B3,10,20,50,0.034
B3,10,20,60,0.034
B3,10,20,70,0.033
B3,10,20,80,0.033
B3,10,20,90,0.033
B3,10,20,100,0.032
B3,10,20,110,0.032
B3,10,20,120,0.032
B3,10,20,130,0.032
B3,10,20,140,0.031
B3,10,20,150,0.031
B3,10,20,160,0.031
B3,10,20,170,0.031
B3,10,20,180,0.031
B3,10,30,0,0.036
B3,10,30,10,0.036
B3,10,30,20,0.036
B3,10,30,30,0.035
B3,10,30,40,0.035
B3,10,30,50,0.035
B3,10,30,60,0.034
B3,10,30,70,0.034
B3,10,30,80,0.033
B3,10,30,90,0.033
B3,10,30,100,0.033
B3,10,30,110,0.032
B3,10,30,120,0.032
B3,10,30,130,0.031
B3,10,30,140,0.031
B3,10,30,150,0.031
B3,10,30,160,0.031
B3,10,30,170,0.031
B3,10,30,180,0.03
B3,10,40,0,0.037
B3,10,40,10,0.037
B3,10,40,20,0.037
B3,10,40,30,0.037
B3,10,40,40,0.037
B3,10,40,50,0.036
B3,10,40,60,0.036
B3,10,40,70,0.035
B3,10,40,80,0.034
B3,10,40,90,0.034
B3,10,40,100,0.033
B3,10,40,110,0.033
B3,10,40,120,0.032
B3,10,40,130,0.032
B3,10,40,140,0.031
B3,10,40,150,0.031
B3,10,40,160,0.031
B3,10,40,170,0.031
B3,10,40,180,0.031
B3,10,50,0,0.04
B3,10,50,10,0.04
B3,10,50,20,0.04
B3,10,50,30,0.039
B3,10,50,40,0.039
B3,10,50,50,0.038
B3,10,50,60,0.038
B3,10,50,70,0.037
B3,10,50,80,0.036
B3,10,50,90,0.036
B3,10,50,100,0.035
B3,10,50,110,0.034
B3,10,50,120,0.034
B3,10,50,130,0.033
B3,10,50,140,0.033
B3,10,50,150,0.032
B3,10,50,160,0.032
B3,10,50,170,0.032
B3,10,50,180,0.032
B3,10,60,0,0.045
B3,10,60,10,0.045
B3,10,60,20,0.044
B3,10,60,30,0.044
B3,10,60,40,0.043
B3,10,60,50,0.043
B3,10,60,60,0.042
B3,10,60,70,0.041
B3,10,60,80,0.04
B3,10,60,90,0.04
B3,10,60,100,0.039
B3,10,60,110,0.038
B3,10,60,120,0.038
B3,10,60,130,0.037
B3,10,60,140,0.037
B3,10,60,150,0.036
B3,10,60,160,0.036
B3,10,60,170,0.036
B3,10,60,180,0.036
B3,10,70,0,0.054
B3,10,70,10,0.054
B3,10,70,20,0.054
B3,10,70,30,0.054
B3,10,70,40,0.053
B3,10,70,50,0.052
B3,10,70,60,0.051
B3,10,70,70,0.051
B3,10,70,80,0.05
B3,10,70,90,0.049
B3,10,70,100,0.048
B3,10,70,110,0.047
B3,10,70,120,0.047
B3,10,70,130,0.046
B3,10,70,140,0.046
B3,10,70,150,0.046
B3,10,70,160,0.046
B3,10,70,170,0.046
B3,10,70,180,0.045
B3,10,80,0,0.079
B3,10,80,10,0.078
B3,10,80,20,0.078
B3,10,80,30,0.078
B3,10,80,40,0.077
B3,10,80,50,0.076
B3,10,80,60,0.075
B3,10,80,70,0.074
B3,10,80,80,0.074
B3,10,80,90,0.073
B3,10,80,100,0.072
B3,10,80,110,0.072
B3,10,80,120,0.072
B3,10,80,130,0.071
B3,10,80,140,0.071
B3,10,80,150,0.071
B3,10,80,160,0.071
B3,10,80,170,0.071
B3,10,80,180,0.071
B3,20,0,0,0.033
B3,20,0,10,0.033
B3,20,0,20,0.033
B3,20,0,30,0.033
B3,20,0,40,0.033
B3,20,0,50,0.033
B3,20,0,60,0.033
B3,20,0,70,0.033
B3,20,0,80,0.033
B3,20,0,90,0.033
B3,20,0,100,0.033
B3,20,0,110,0.033
B3,20,0,120,0.033
B3,20,0,130,0.033
B3,20,0,140,0.033
B3,20,0,150,0.033
B3,20,0,160,0.033
B3,20,0,170,0.033
B3,20,0,180,0.033
B3,20,10,0,0.035
B3,20,10,10,0.035
B3,20,10,20,0.035
B3,20,10,30,0.034
B3,20,10,40,0.034
B3,20,10,50,0.034
B3,20,10,60,0.034
B3,20,10,70,0.033
B3,20,10,80,0.033
B3,20,10,90,0.033
B3,20,10,100,0.032
B3,20,10,110,0.032
B3,20,10,120,0.032
B3,20,10,130,0.032
B3,20,10,140,0.031
B3,20,10,150,0.031
B3,20,10,160,0.031
B3,20,10,170,0.031
B3,20,10,180,0.031
B3,20,20,0,0.037
B3,20,20,10,0.037
B3,20,20,20,0.037
B3,20,20,30,0.036
B3,20,20,40,0.036
B3,20,20,50,0.035
B3,20,20,60,0.035
B3,20,20,70,0.034
B3,20,20,80,0.034
B3,20,20,90,0.033
B3,20,20,100,0.032
B3,20,20,110,0.032
B3,20,20,120,0.031
B3,20,20,130,0.031
B3,20,20,140,0.03
B3,20,20,150,0.03
B3,20,20,160,0.03
B3,20,20,170,0.03
B3,20,20,180,0.03
B3,20,30,0,0.039
B3,20,30,10,0.039
B3,20,30,20,0.039
B3,20,30,30,0.038
B3,20,30,40,0.038
B3,20,30,50,0.037
B3,20,30,60,0.036
B3,20,30,70,0.035
B3,20,30,80,0.034
B3,20,30,90,0.033
B3,20,30,100,0.032
B3,20,30,110,0.032
B3,20,30,120,0.031
B3,20,30,130,0.03
B3,20,30,140,0.03
B3,20,30,150,0.029
B3,20,30,160,0.029
B3,20,30,170,0.029
B3,20,30,180,0.029
B3,20,40,0,0.042
B3,20,40,10,0.042
B3,20,40,20,0.041
B3,20,40,30,0.041
B3,20,40,40,0.04
B3,20,40,50,0.039
B3,20,40,60,0.038
B3,20,40,70,0.037
B3,20,40,80,0.035
B3,20,40,90,0.034
B3,20,40,100,0.033
B3,20,40,110,0.032
B3,20,40,120,0.031
B3,20,40,130,0.03
B3,20,40,140,0.03
B3,20,40,150,0.029
B3,20,40,160,0.029
B3,20,40,170,0.029
B3,20,40,180,0.029
B3,20,50,0,0.046
B3,20,50,10,0.046
B3,20,50,20,0.045
B3,20,50,30,0.044
B3,20,50,40,0.043
B3,20,50,50,0.042
B3,20,50,60,0.041
B3,20,50,70,0.039
B3,20,50,80,0.038
B3,20,50,90,0.036
B3,20,50,100,0.035
B3,20,50,110,0.034
B3,20,50,120,0.033
B3,20,50,130,0.032
B3,20,50,140,0.031
B3,20,50,150,0.031
B3,20,50,160,0.03
B3,20,50,170,0.03
B3,20,50,180,0.03
B3,20,60,0,0.052
B3,20,60,10,0.052
B3,20,60,20,0.051
B3,20,60,30,0.05
B3,20,60,40,0.049
B3,20,60,50,0.047
B3,20,60,60,0.046
B3,20,60,70,0.044
B3,20,60,80,0.042
B3,20,60,90,0.041
B3,20,60,100,0.039
B3,20,60,110,0.038
B3,20,60,120,0.037
B3,20,60,130,0.036
B3,20,60,140,0.036
B3,20,60,150,0.035
B3,20,60,160,0.035
B3,20,60,170,0.035
B3,20,60,180,0.035
B3,20,70,0,0.064
B3,20,70,10,0.064
B3,20,70,20,0.063
B3,20,70,30,0.062
B3,20,70,40,0.06
B3,20,70,50,0.058
B3,20,70,60,0.056
B3,20,70,70,0.054
B3,20,70,80,0.053
B3,20,70,90,0.051
B3,20,70,100,0.05
B3,20,70,110,0.048
B3,20,70,120,0.048
B3,20,70,130,0.047
B3,20,70,140,0.047
B3,20,70,150,0.047
B3,20,70,160,0.046
B3,20,70,170,0.046
B3,20,70,180,0.046
B3,20,80,0,0.091
B3,20,80,10,0.091
B3,20,80,20,0.09
B3,20,80,30,0.088
B3,20,80,40,0.087
B3,20,80,50,0.084
B3,20,80,60,0.082
B3,20,80,70,0.08
B3,20,80,80,0.078
B3,20,80,90,0.077
B3,20,80,100,0.075
B3,20,80,110,0.075
B3,20,80,120,0.075
B3,20,80,130,0.075
B3,20,80,140,0.075
B3,20,80,150,0.076
B3,20,80,160,0.076
B3,20,80,170,0.076
B3,20,80,180,0.076
B3,30,0,0,0.033
B3,30,0,10,0.033
B3,30,0,20,0.033
B3,30,0,30,0.033
B3,30,0,40,0.033
B3,30,0,50,0.033
B3,30,0,60,0.033
B3,30,0,70,0.033
B3,30,0,80,0.033
B3,30,0,90,0.033
B3,30,0,100,0.033
B3,30,0,110,0.033
B3,30,0,120,0.033
B3,30,0,130,0.033
B3,30,0,140,0.033
B3,30,0,150,0.033
B3,30,0,160,0.033
B3,30,0,170,0.033
B3,30,0,180,0.033
B3,30,10,0,0.036
B3,30,10,10,0.036
B3,30,10,20,0.036
B3,30,10,30,0.035
B3,30,10,40,0.035
B3,30,10,50,0.035
B3,30,10,60,0.034
B3,30,10,70,0.034
B3,30,10,80,0.033
B3,30,10,90,0.033
B3,30,10,100,0.033
B3,30,10,110,0.032
B3,30,10,120,0.032
B3,30,10,130,0.031
B3,30,10,140,0.031
B3,30,10,150,0.031
B3,30,10,160,0.031
B3,30,10,170,0.031
B3,30,10,180,0.03
B3,30,20,0,0.039
B3,30,20,10,0.039
B3,30,20,20,0.039
B3,30,20,30,0.038
B3,30,20,40,0.038
B3,30,20,50,0.037
B3,30,20,60,0.036
B3,30,20,70,0.035
B3,30,20,80,0.034
B3,30,20,90,0.033
B3,30,20,100,0.032
B3,30,20,110,0.032
B3,30,20,120,0.031
B3,30,20,130,0.03
B3,30,20,140,0.03
B3,30,20,150,0.029
B3,30,20,160,0.029
B3,30,20,170,0.029
B3,30,20,180,0.029
B3,30,30,0,0.043
B3,30,30,10,0.043
B3,30,30,20,0.042
B3,30,30,30,0.041
B3,30,30,40,0.041
B3,30,30,50,0.039
B3,30,30,60,0.038
B3,30,30,70,0.037
B3,30,30,80,0.035
B3,30,30,90,0.034
B3,30,30,100,0.033
B3,30,30,110,0.031
B3,30,30,120,0.03
B3,30,30,130,0.03
B3,30,30,140,0.029
B3,30,30,150,0.028
B3,30,30,160,0.028
B3,30,30,170,0.028
B3,30,30,180,0.027
B3,30,40,0,0.047
B3,30,40,10,0.047
B3,30,40,20,0.046
B3,30,40,30,0.045
B3,30,40,40,0.044
B3,30,40,50,0.042
B3,30,40,60,0.041
B3,30,40,70,0.039
B3,30,40,80,0.037
B3,30,40,90,0.035
B3,30,40,100,0.034
B3,30,40,110,0.032
B3,30,40,120,0.031
B3,30,40,130,0.03
B3,30,40,140,0.029
B3,30,40,150,0.029
B3,30,40,160,0.028
B3,30,40,170,0.028
B3,30,40,180,0.028
B3,30,50,0,0.053
B3,30,50,10,0.053
B3,30,50,20,0.052
B3,30,50,30,0.051
B3,30,50,40,0.049
B3,30,50,50,0.047
B3,30,50,60,0.045
B3,30,50,70,0.042
B3,30,50,80,0.04
B3,30,50,90,0.038
B3,30,50,100,0.036
B3,30,50,110,0.034
B3,30,50,120,0.033
B3,30,50,130,0.032
B3,30,50,140,0.031
B3,30,50,150,0.031
B3,30,50,160,0.031
B3,30,50,170,0.03
B3,30,50,180,0.03
B3,30,60,0,0.062
B3,30,60,10,0.061
B3,30,60,20,0.06
B3,30,60,30,0.059
B3,30,60,40,0.056
B3,30,60,50,0.054
B3,30,60,60,0.051
B3,30,60,70,0.048
B3,30,60,80,0.046
B3,30,60,90,0.043
B3,30,60,100,0.041
B3,30,60,110,0.04
B3,30,60,120,0.038
B3,30,60,130,0.038
B3,30,60,140,0.037
B3,30,60,150,0.037
B3,30,60,160,0.037
B3,30,60,170,0.037
B3,30,60,180,0.037
B3,30,70,0,0.077
B3,30,70,10,0.076
B3,30,70,20,0.075
B3,30,70,30,0.073
B3,30,70,40,0.07
B3,30,70,50,0.067
B3,30,70,60,0.063
B3,30,70,70,0.06
B3,30,70,80,0.057
B3,30,70,90,0.055
B3,30,70,100,0.053
B3,30,70,110,0.051
B3,30,70,120,0.051
B3,30,70,130,0.051
B3,30,70,140,0.051
B3,30,70,150,0.051
B3,30,70,160,0.051
B3,30,70,170,0.052
B3,30,70,180,0.052
B3,30,80,0,0.111
B3,30,80,10,0.11
B3,30,80,20,0.108
B3,30,80,30,0.105
B3,30,80,40,0.101
B3,30,80,50,0.097
B3,30,80,60,0.093
B3,30,80,70,0.089
B3,30,80,80,0.085
B3,30,80,90,0.083
B3,30,80,100,0.082
B3,30,80,110,0.081
B3,30,80,120,0.082
B3,30,80,130,0.083
B3,30,80,140,0.085
B3,30,80,150,0.086
B3,30,80,160,0.088
B3,30,80,170,0.089
B3,30,80,180,0.089
B3,40,0,0,0.034
B3,40,0,10,0.034
B3,40,0,20,0.034
B3,40,0,30,0.034
B3,40,0,40,0.034
B3,40,0,50,0.034
B3,40,0,60,0.034
B3,40,0,70,0.034
B3,40,0,80,0.034
B3,40,0,90,0.034
B3,40,0,100,0.034
B3,40,0,110,0.034
B3,40,0,120,0.034
B3,40,0,130,0.034
B3,40,0,140,0.034
B3,40,0,150,0.034
B3,40,0,160,0.034
B3,40,0,170,0.034
B3,40,0,180,0.034
B3,40,10,0,0.037
B3,40,10,10,0.037
B3,40,10,20,0.037
B3,40,10,30,0.037
B3,40,10,40,0.037
B3,40,10,50,0.036
B3,40,10,60,0.036
B3,40,10,70,0.035
B3,40,10,80,0.034
B3,40,10,90,0.034
B3,40,10,100,0.033
B3,40,10,110,0.033
B3,40,10,120,0.032
B3,40,10,130,0.032
B3,40,10,140,0.031
B3,40,10,150,0.031
B3,40,10,160,0.031
B3,40,10,170,0.031
B3,40,10,180,0.031
B3,40,20,0,0.042
B3,40,20,10,0.042
B3,40,20,20,0.041
B3,40,20,30,0.041
B3,40,20,40,0.04
B3,40,20,50,0.039
B3,40,20,60,0.038
B3,40,20,70,0.037
B3,40,20,80,0.035
B3,40,20,90,0.034
B3,40,20,100,0.033
B3,40,20,110,0.032
B3,40,20,120,0.031
B3,40,20,130,0.03
B3,40,20,140,0.03
B3,40,20,150,0.029
B3,40,20,160,0.029
B3,40,20,170,0.029
B3,40,20,180,0.029
B3,40,30,0,0.047
B3,40,30,10,0.047
B3,40,30,20,0.046
B3,40,30,30,0.045
B3,40,30,40,0.044
B3,40,30,50,0.042
B3,40,30,60,0.041
B3,40,30,70,0.039
B3,40,30,80,0.037
B3,40,30,90,0.035
B3,40,30,100,0.034
B3,40,30,110,0.032
B3,40,30,120,0.031
B3,40,30,130,0.03
B3,40,30,140,0.029
B3,40,30,150,0.029
B3,40,30,160,0.028
B3,40,30,170,0.028
B3,40,30,180,0.028
B3,40,40,0,0.054
B3,40,40,10,0.053
B3,40,40,20,0.052
B3,40,40,30,0.051
B3,40,40,40,0.049
B3,40,40,50,0.047
B3,40,40,60,0.044
B3,40,40,70,0.042
B3,40,40,80,0.039
B3,40,40,90,0.037
B3,40,40,100,0.035
B3,40,40,110,0.033
B3,40,40,120,0.032
B3,40,40,130,0.031
B3,40,40,140,0.03
B3,40,40,150,0.03
B3,40,40,160,0.029
B3,40,40,170,0.029
B3,40,40,180,0.029
B3,40,50,0,0.062
B3,40,50,10,0.062
B3,40,50,20,0.06
B3,40,50,30,0.058
B3,40,50,40,0.056
B3,40,50,50,0.053
B3,40,50,60,0.05
B3,40,50,70,0.046
B3,40,50,80,0.043
B3,40,50,90,0.041
B3,40,50,100,0.038
B3,40,50,110,0.036
B3,40,50,120,0.035
B3,40,50,130,0.034
B3,40,50,140,0.034
B3,40,50,150,0.033
B3,40,50,160,0.033
B3,40,50,170,0.033
B3,40,50,180,0.033
B3,40,60,0,0.074
B3,40,60,10,0.074
B3,40,60,20,0.072
B3,40,60,30,0.069
B3,40,60,40,0.066
B3,40,60,50,0.062
B3,40,60,60,0.058
B3,40,60,70,0.054
B3,40,60,80,0.05
B3,40,60,90,0.047
B3,40,60,100,0.045
B3,40,60,110,0.043
B3,40,60,120,0.042
B3,40,60,130,0.042
B3,40,60,140,0.042
B3,40,60,150,0.042
B3,40,60,160,0.042
B3,40,60,170,0.042
B3,40,60,180,0.042
B3,40,70,0,0.095
B3,40,70,10,0.094
B3,40,70,20,0.092
B3,40,70,30,0.088
B3,40,70,40,0.084
B3,40,70,50,0.079
B3,40,70,60,0.073
B3,40,70,70,0.068
B3,40,70,80,0.064
B3,40,70,90,0.061
B3,40,70,100,0.059
B3,40,70,110,0.057
B3,40,70,120,0.057
B3,40,70,130,0.058
B3,40,70,140,0.059
B3,40,70,150,0.06
B3,40,70,160,0.061
B3,40,70,170,0.062
B3,40,70,180,0.063
B3,40,80,0,0.139
B3,40,80,10,0.138
B3,40,80,20,0.134
B3,40,80,30,0.129
B3,40,80,40,0.123
B3,40,80,50,0.115
B3,40,80,60,0.108
B3,40,80,70,0.102
B3,40,80,80,0.097
B3,40,80,90,0.094
B3,40,80,100,0.092
B3,40,80,110,0.093
B3,40,80,120,0.095
B3,40,80,130,0.098
B3,40,80,140,0.102
B3,40,80,150,0.105
B3,40,80,160,0.109
B3,40,80,170,0.111
B3,40,80,180,0.111
B3,50,0,0,0.035
B3,50,0,10,0.035
B3,50,0,20,0.035
B3,50,0,30,0.035
B3,50,0,40,0.035
B3,50,0,50,0.035
B3,50,0,60,0.035
B3,50,0,70,0.035
B3,50,0,80,0.035
B3,50,0,90,0.035
B3,50,0,100,0.035
B3,50,0,110,0.035
B3,50,0,120,0.035
B3,50,0,130,0.035
B3,50,0,140,0.035
B3,50,0,150,0.035
B3,50,0,160,0.035
B3,50,0,170,0.035
B3,50,0,180,0.035
B3,50,10,0,0.04
B3,50,10,10,0.04
B3,50,10,20,0.04
B3,50,10,30,0.039
B3,50,10,40,0.039
B3,50,10,50,0.038
B3,50,10,60,0.038
B3,50,10,70,0.037
B3,50,10,80,0.036
B3,50,10,90,0.036
B3,50,10,100,0.035
B3,50,10,110,0.034
B3,50,10,120,0.034
B3,50,10,130,0.033
B3,50,10,140,0.033
B3,50,10,150,0.032
B3,50,10,160,0.032
B3,50,10,170,0.032
B3,50,10,180,0.032
B3,50,20,0,0.046
B3,50,20,10,0.046
B3,50,20,20,0.045
B3,50,20,30,0.044
B3,50,20,40,0.043
B3,50,20,50,0.042
B3,50,20,60,0.041
B3,50,20,70,0.039
B3,50,20,80,0.038
B3,50,20,90,0.036
B3,50,20,100,0.035
B3,50,20,110,0.034
B3,50,20,120,0.033
B3,50,20,130,0.032
B3,50,20,140,0.031
B3,50,20,150,0.031
B3,50,20,160,0.03
B3,50,20,170,0.03
B3,50,20,180,0.03
B3,50,30,0,0.053
B3,50,30,10,0.053
B3,50,30,20,0.052
B3,50,30,30,0.051
B3,50,30,40,0.049
B3,50,30,50,0.047
B3,50,30,60,0.045
B3,50,30,70,0.042
B3,50,30,80,0.04
B3,50,30,90,0.038
B3,50,30,100,0.036
B3,50,30,110,0.034
B3,50,30,120,0.033
B3,50,30,130,0.032
B3,50,30,140,0.031
B3,50,30,150,0.031
B3,50,30,160,0.031
B3,50,30,170,0.03
B3,50,30,180,0.03
B3,50,40,0,0.062
B3,50,40,10,0.062
B3,50,40,20,0.06
B3,50,40,30,0.058
B3,50,40,40,0.056
B3,50,40,50,0.053
B3,50,40,60,0.05
B3,50,40,70,0.046
B3,50,40,80,0.043
B3,50,40,90,0.041
B3,50,40,100,0.038
B3,50,40,110,0.037
B3,50,40,120,0.035
B3,50,40,130,0.034
B3,50,40,140,0.034
B3,50,40,150,0.033
B3,50,40,160,0.033
B3,50,40,170,0.033
B3,50,40,180,0.033
B3,50,50,0,0.074
B3,50,50,10,0.073
B3,50,50,20,0.072
B3,50,50,30,0.069
B3,50,50,40,0.065
B3,50,50,50,0.061
B3,50,50,60,0.057
B3,50,50,70,0.053
B3,50,50,80,0.049
B3,50,50,90,0.045
B3,50,50,100,0.043
B3,50,50,110,0.041
B3,50,50,120,0.04
B3,50,50,130,0.039
B3,50,50,140,0.039
B3,50,50,150,0.039
B3,50,50,160,0.04
B3,50,50,170,0.04
B3,50,50,180,0.04
B3,50,60,0,0.091
B3,50,60,10,0.09
B3,50,60,20,0.088
B3,50,60,30,0.084
B3,50,60,40,0.079
B3,50,60,50,0.073
B3,50,60,60,0.068
B3,50,60,70,0.062
B3,50,60,80,0.058
B3,50,60,90,0.054
B3,50,60,100,0.051
B3,50,60,110,0.05
B3,50,60,120,0.049
B3,50,60,130,0.05
B3,50,60,140,0.051
B3,50,60,150,0.052
B3,50,60,160,0.053
B3,50,60,170,0.054
B3,50,60,180,0.054
B3,50,70,0,0.119
B3,50,70,10,0.118
B3,50,70,20,0.115
B3,50,70,30,0.109
B3,50,70,40,0.103
B3,50,70,50,0.095
B3,50,70,60,0.088
B3,50,70,70,0.081
B3,50,70,80,0.075
B3,50,70,90,0.071
B3,50,70,100,0.068
B3,50,70,110,0.068
B3,50,70,120,0.069
B3,50,70,130,0.071
B3,50,70,140,0.074
B3,50,70,150,0.077
B3,50,70,160,0.079
B3,50,70,170,0.081
B3,50,70,180,0.082
B3,50,80,0,0.179
B3,50,80,10,0.177
B3,50,80,20,0.172
B3,50,80,30,0.164
B3,50,80,40,0.154
B3,50,80,50,0.142
B3,50,80,60,0.132
B3,50,80,70,0.122
B3,50,80,80,0.115
B3,50,80,90,0.111
B3,50,80,100,0.109
B3,50,80,110,0.111
B3,50,80,120,0.116
B3,50,80,130,0.122
B3,50,80,140,0.129
B3,50,80,150,0.136
B3,50,80,160,0.142
B3,50,80,170,0.145
B3,50,80,180,0.147
B3,60,0,0,0.039
B3,60,0,10,0.039
B3,60,0,20,0.039
B3,60,0,30,0.039
B3,60,0,40,0.039
B3,60,0,50,0.039
B3,60,0,60,0.039
B3,60,0,70,0.039
B3,60,0,80,0.039
B3,60,0,90,0.039
B3,60,0,100,0.039
B3,60,0,110,0.039
B3,60,0,120,0.039
B3,60,0,130,0.039
B3,60,0,140,0.039
B3,60,0,150,0.039
B3,60,0,160,0.039
B3,60,0,170,0.039
B3,60,0,180,0.039
B3,60,10,0,0.045
B3,60,10,10,0.045
B3,60,10,20,0.044
B3,60,10,30,0.044
B3,60,10,40,0.043
B3,60,10,50,0.043
B3,60,10,60,0.042
B3,60,10,70,0.041
B3,60,10,80,0.04
B3,60,10,90,0.04
B3,60,10,100,0.039
B3,60,10,110,0.038
B3,60,10,120,0.038
B3,60,10,130,0.037
B3,60,10,140,0.037
B3,60,10,150,0.036
B3,60,10,160,0.036
B3,60,10,170,0.036
B3,60,10,180,0.036
B3,60,20,0,0.052
B3,60,20,10,0.052
B3,60,20,20,0.051
B3,60,20,30,0.05
B3,60,20,40,0.049
B3,60,20,50,0.047
B3,60,20,60,0.046
B3,60,20,70,0.044
B3,60,20,80,0.042
B3,60,20,90,0.041
B3,60,20,100,0.039
B3,60,20,110,0.038
B3,60,20,120,0.037
B3,60,20,130,0.036
B3,60,20,140,0.036
B3,60,20,150,0.035
B3,60,20,160,0.035
B3,60,20,170,0.035
B3,60,20,180,0.035
B3,60,30,0,0.062
B3,60,30,10,0.061
B3,60,30,20,0.06
B3,60,30,30,0.059
B3,60,30,40,0.056
B3,60,30,50,0.054
B3,60,30,60,0.051
B3,60,30,70,0.048
B3,60,30,80,0.046
B3,60,30,90,0.043
B3,60,30,100,0.041
B3,60,30,110,0.04
B3,60,30,120,0.039
B3,60,30,130,0.038
B3,60,30,140,0.037
B3,60,30,150,0.037
B3,60,30,160,0.037
B3,60,30,170,0.037
B3,60,30,180,0.037
B3,60,40,0,0.074
B3,60,40,10,0.074
B3,60,40,20,0.072
B3,60,40,30,0.069
B3,60,40,40,0.066
B3,60,40,50,0.062
B3,60,40,60,0.058
B3,60,40,70,0.054
B3,60,40,80,0.05
B3,60,40,90,0.047
B3,60,40,100,0.045
B3,60,40,110,0.043
B3,60,40,120,0.042
B3,60,40,130,0.042
B3,60,40,140,0.042
B3,60,40,150,0.042
B3,60,40,160,0.042
B3,60,40,170,0.042
B3,60,40,180,0.042
B3,60,50,0,0.091
B3,60,50,10,0.09
B3,60,50,20,0.088
B3,60,50,30,0.084
B3,60,50,40,0.079
B3,60,50,50,0.073
B3,60,50,60,0.068
B3,60,50,70,0.062
B3,60,50,80,0.058
B3,60,50,90,0.054
B3,60,50,100,0.051
B3,60,50,110,0.05
B3,60,50,120,0.049
B3,60,50,130,0.05
B3,60,50,140,0.051
B3,60,50,150,0.052
B3,60,50,160,0.053
B3,60,50,170,0.054
B3,60,50,180,0.054
B3,60,60,0,0.115
B3,60,60,10,0.114
B3,60,60,20,0.11
B3,60,60,30,0.105
B3,60,60,40,0.098
B3,60,60,50,0.091
B3,60,60,60,0.083
B3,60,60,70,0.076
B3,60,60,80,0.07
B3,60,60,90,0.066
B3,60,60,100,0.063
B3,60,60,110,0.062
B3,60,60,120,0.063
B3,60,60,130,0.065
B3,60,60,140,0.067
B3,60,60,150,0.07
B3,60,60,160,0.072
B3,60,60,170,0.074
B3,60,60,180,0.075
B3,60,70,0,0.155
B3,60,70,10,0.154
B3,60,70,20,0.149
B3,60,70,30,0.141
B3,60,70,40,0.131
B3,60,70,50,0.12
B3,60,70,60,0.11
B3,60,70,70,0.1
B3,60,70,80,0.093
B3,60,70,90,0.088
B3,60,70,100,0.086
B3,60,70,110,0.086
B3,60,70,120,0.089
B3,60,70,130,0.094
B3,60,70,140,0.1
B3,60,70,150,0.105
B3,60,70,160,0.11
B3,60,70,170,0.113
B3,60,70,180,0.114
B3,60,80,0,0.239
B3,60,80,10,0.237
B3,60,80,20,0.229
B3,60,80,30,0.216
B3,60,80,40,0.201
B3,60,80,50,0.184
B3,60,80,60,0.168
B3,60,80,70,0.155
B3,60,80,80,0.144
B3,60,80,90,0.139
B3,60,80,100,0.138
B3,60,80,110,0.143
B3,60,80,120,0.151
B3,60,80,130,0.162
B3,60,80,140,0.174
B3,60,80,150,0.186
B3,60,80,160,0.196
B3,60,80,170,0.202
B3,60,80,180,0.204
B3,70,0,0,0.048
B3,70,0,10,0.048
B3,70,0,20,0.048
B3,70,0,30,0.048
B3,70,0,40,0.048
B3,70,0,50,0.048
B3,70,0,60,0.048
B3,70,0,70,0.048
B3,70,0,80,0.048
B3,70,0,90,0.048
B3,70,0,100,0.048
B3,70,0,110,0.048
B3,70,0,120,0.048
B3,70,0,130,0.048
B3,70,0,140,0.048
B3,70,0,150,0.048
B3,70,0,160,0.048
B3,70,0,170,0.048
B3,70,0,180,0.048
B3,70,10,0,0.054
B3,70,10,10,0.054
B3,70,10,20,0.054
B3,70,10,30,0.054
B3,70,10,40,0.053
B3,70,10,50,0.052
B3,70,10,60,0.051
B3,70,10,70,0.051
B3,70,10,80,0.05
B3,70,10,90,0.049
B3,70,10,100,0.048
B3,70,10,110,0.047
B3,70,10,120,0.047
B3,70,10,130,0.046
B3,70,10,140,0.046
B3,70,10,150,0.046
B3,70,10,160,0.046
B3,70,10,170,0.046
B3,70,10,180,0.045
B3,70,20,0,0.064
B3,70,20,10,0.064
B3,70,20,20,0.063
B3,70,20,30,0.062
B3,70,20,40,0.06
B3,70,20,50,0.058
B3,70,20,60,0.056
B3,70,20,70,0.054
B3,70,20,80,0.053
B3,70,20,90,0.051
B3,70,20,100,0.05
B3,70,20,110,0.048
B3,70,20,120,0.048
