Band,SZA,VZA,RAA,R_atm
B1,10,20,40,0.095
B1,10,20,50,0.094
B1,10,20,60,0.093
B1,10,20,70,0.093
B1,10,20,80,0.092
B1,10,20,90,0.091
B1,10,20,100,0.09
B1,10,20,110,0.089
B1,10,20,120,0.088
B1,10,20,130,0.088
B1,10,20,140,0.087
B1,10,20,150,0.087
B1,10,20,160,0.086
B1,10,20,170,0.086
B1,10,20,180,0.086
B1,10,30,0,0.099
B1,10,30,10,0.099
B1,10,30,20,0.099
B1,10,30,30,0.098
B1,10,30,40,0.097
B1,10,30,50,0.096
B1,10,30,60,0.095
B1,10,30,70,0.094
B1,10,30,80,0.093
B1,10,30,90,0.091
B1,10,30,100,0.09
B1,10,30,110,0.089
B1,10,30,120,0.088
B1,10,30,130,0.087
B1,10,30,140,0.086
B1,10,30,150,0.085
B1,10,30,160,0.085
B1,10,30,170,0.085
B1,10,30,180,0.085
B1,10,40,0,0.103
B1,10,40,10,0.103
B1,10,40,20,0.103
B1,10,40,30,0.102
B1,10,40,40,0.101
B1,10,40,50,0.1
B1,10,40,60,0.098
B1,10,40,70,0.097
B1,10,40,80,0.095
B1,10,40,90,0.093
B1,10,40,100,0.092
B1,10,40,110,0.09
B1,10,40,120,0.089
B1,10,40,130,0.088
B1,10,40,140,0.087
B1,10,40,150,0.086
B1,10,40,160,0.085
B1,10,40,170,0.085
B1,10,40,180,0.085
B1,10,50,0,0.11
B1,10,50,10,0.11
B1,10,50,20,0.109
B1,10,50,30,0.108
B1,10,50,40,0.107
B1,10,50,50,0.105
B1,10,50,60,0.104
B1,10,50,70,0.102
B1,10,50,80,0.1
B1,10,50,90,0.098
B1,10,50,100,0.096
B1,10,50,110,0.095
B1,10,50,120,0.093
B1,10,50,130,0.092
B1,10,50,140,0.091
B1,10,50,150,0.09
B1,10,50,160,0.089
B1,10,50,170,0.089
B1,10,50,180,0.089
B1,10,60,0,0.121
B1,10,60,10,0.121
B1,10,60,20,0.121
B1,10,60,30,0.12
B1,10,60,40,0.118
B1,10,60,50,0.116
B1,10,60,60,0.115
B1,10,60,70,0.113
B1,10,60,80,0.11
B1,10,60,90,0.108
B1,10,60,100,0.106
B1,10,60,110,0.105
B1,10,60,120,0.103
B1,10,60,130,0.102
B1,10,60,140,0.101
B1,10,60,150,0.1
B1,10,60,160,0.099
B1,10,60,170,0.099
B1,10,60,180,0.099
B1,10,70,0,0.145
B1,10,70,10,0.145
B1,10,70,20,0.144
